Data;Tipo de Documento;Número de Documento;NIF do Adquirente;Nome do Adquirente;Base Tributável;Taxa de IVA;IVA;Total;País;Estado do Documento
15-01-2025;FT;FT 2025/001;234567890;João Silva - Pacote Paris 3 noites;1200,00;0;0,00;1200,00;PT;Normal
18-01-2025;FT;FT 2025/002;345678901;Maria Santos - Cruzeiro Mediterrâneo 7 dias;3500,00;0;0,00;3500,00;PT;Normal
22-01-2025;FT;FT 2025/003;456789012;Pedro Costa - Safari Quénia 10 dias;4200,00;0;0,00;4200,00;PT;Normal
25-01-2025;FT;FT 2025/004;567890123;Ana Rodrigues - Escapadinha Roma;850,00;0;0,00;850,00;PT;Normal
28-01-2025;FT;FT 2025/005;678901234;Carlos Ferreira - Tour Japão 14 dias;5600,00;0;0,00;5600,00;PT;Normal
02-02-2025;FT;FT 2025/006;789012345;Luísa Martins - Viagem Nova Iorque;2100,00;0;0,00;2100,00;PT;Normal
05-02-2025;FT;FT 2025/007;890123456;Ricardo Sousa - Pacote Cancún All Inclusive;2800,00;0;0,00;2800,00;PT;Normal
08-02-2025;FT;FT 2025/008;901234567;Sofia Almeida - Tour Tailândia;3200,00;0;0,00;3200,00;PT;Normal
12-02-2025;NC;NC 2025/001;234567890;João Silva - Cancelamento parcial;-200,00;0;0,00;-200,00;PT;Normal
15-02-2025;FT;FT 2025/009;012345678;Manuel Santos - Cruzeiro Caraíbas;4100,00;0;0,00;4100,00;PT;Normal
